39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
05:41:20.0 (62448)|USER_INFO|[EXTERNAL]|00524000005uNfK|neela@lightful.com.commundev|Line Is. Time|GMT+14:00
05:41:20.0 (99225)|EXECUTION_STARTED
05:41:20.0 (104401)|CODE_UNIT_STARTED|[EXTERNAL]|0669E000000Cv0R|VF: /apex/communityCaseMgmt
05:41:20.11 (11295401)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex <init>
05:41:20.11 (11314880)|SYSTEM_MODE_ENTER|true
05:41:20.11 (11455836)|HEAP_ALLOCATE|[72]|Bytes:3
05:41:20.11 (11503738)|HEAP_ALLOCATE|[77]|Bytes:152
05:41:20.11 (11525661)|HEAP_ALLOCATE|[342]|Bytes:408
05:41:20.11 (11544430)|HEAP_ALLOCATE|[355]|Bytes:408
05:41:20.11 (11556019)|HEAP_ALLOCATE|[467]|Bytes:48
05:41:20.11 (11871378)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape,null)
05:41:20.11 (11880212)|SYSTEM_MODE_ENTER|true
05:41:20.11 (11889785)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape,null)
05:41:20.11 (11909033)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
05:41:20.11 (11933188)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:41:20.11 (11938824)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
05:41:20.11 (11971079)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x29312003
05:41:20.11 (11974521)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
05:41:20.11 (11979425)|VARIABLE_ASSIGNMENT|[88]|escape|null
05:41:20.12 (12139168)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
05:41:20.12 (12147045)|SYSTEM_MODE_ENTER|true
05:41:20.12 (12156549)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
05:41:20.12 (12172898)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:41:20.12 (12176897)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
05:41:20.12 (12191202)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x29312003
05:41:20.0 (16465070)|VF_APEX_CALL_START|[EXTERNAL]|01p9E000000Dmpd|communityCaseMgmtController <init>
05:41:20.0 (16474355)|SYSTEM_MODE_ENTER|true
05:41:20.0 (16663296)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:368
05:41:20.0 (16669499)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:60
05:41:20.0 (16672010)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
05:41:20.0 (16680246)|METHOD_ENTRY|[1]|01p9E000000Dmpd|communityCaseMgmtController.communityCaseMgmtController()
05:41:20.0 (16683710)|STATEMENT_EXECUTE|[1]
05:41:20.0 (16687413)|STATEMENT_EXECUTE|[1]
05:41:20.0 (16692146)|METHOD_EXIT|[1]|communityCaseMgmtController
05:41:20.0 (16809776)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:60
05:41:20.0 (16815573)|VARIABLE_SCOPE_BEGIN|[21]|this|communityCaseMgmtController|true|false
05:41:20.0 (16889948)|VARIABLE_ASSIGNMENT|[21]|this|{}|0x7567cd95
05:41:20.0 (16896095)|STATEMENT_EXECUTE|[1]
05:41:20.0 (16897354)|STATEMENT_EXECUTE|[3]
05:41:20.0 (16898559)|STATEMENT_EXECUTE|[4]
05:41:20.0 (16899958)|STATEMENT_EXECUTE|[5]
05:41:20.0 (16900913)|STATEMENT_EXECUTE|[6]
05:41:20.0 (16901830)|STATEMENT_EXECUTE|[7]
05:41:20.0 (16902711)|STATEMENT_EXECUTE|[8]
05:41:20.0 (16903615)|STATEMENT_EXECUTE|[9]
05:41:20.0 (16904548)|STATEMENT_EXECUTE|[11]
05:41:20.0 (16905564)|STATEMENT_EXECUTE|[12]
05:41:20.0 (16906462)|STATEMENT_EXECUTE|[13]
05:41:20.0 (16907355)|STATEMENT_EXECUTE|[15]
05:41:20.0 (16908221)|STATEMENT_EXECUTE|[17]
05:41:20.0 (16909105)|STATEMENT_EXECUTE|[18]
05:41:20.0 (16909982)|STATEMENT_EXECUTE|[19]
05:41:20.0 (16924050)|STATEMENT_EXECUTE|[22]
05:41:20.0 (16925192)|STATEMENT_EXECUTE|[23]
05:41:20.0 (16959146)|HEAP_ALLOCATE|[23]|Bytes:85
05:41:20.0 (16967474)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
05:41:20.0 (16969512)|STATEMENT_EXECUTE|[1]
05:41:20.0 (16975085)|SYSTEM_METHOD_EXIT|[1]|UserInfo
05:41:20.0 (16986742)|METHOD_ENTRY|[23]||System.UserInfo.getUserId()
05:41:20.0 (17079281)|METHOD_EXIT|[23]||System.UserInfo.getUserId()
05:41:20.0 (17092531)|HEAP_ALLOCATE|[23]|Bytes:4
