39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
05:38:43.0 (286582)|USER_INFO|[EXTERNAL]|00524000005uNfK|neela@lightful.com.commundev|Line Is. Time|GMT+14:00
05:38:43.0 (310385)|EXECUTION_STARTED
05:38:43.0 (314471)|CODE_UNIT_STARTED|[EXTERNAL]|0669E000000Cv0R|VF: /apex/communityCaseMgmt
05:38:43.11 (11715860)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex <init>
05:38:43.11 (11735883)|SYSTEM_MODE_ENTER|true
05:38:43.11 (11838675)|HEAP_ALLOCATE|[72]|Bytes:3
05:38:43.11 (11861115)|HEAP_ALLOCATE|[77]|Bytes:152
05:38:43.11 (11873458)|HEAP_ALLOCATE|[342]|Bytes:408
05:38:43.11 (11885797)|HEAP_ALLOCATE|[355]|Bytes:408
05:38:43.11 (11896595)|HEAP_ALLOCATE|[467]|Bytes:48
05:38:43.12 (12131358)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape,null)
05:38:43.12 (12140200)|SYSTEM_MODE_ENTER|true
05:38:43.12 (12152610)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape,null)
05:38:43.12 (12173321)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
05:38:43.12 (12197566)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:38:43.12 (12204716)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
05:38:43.12 (12269438)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x13c55175
05:38:43.12 (12273297)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
05:38:43.12 (12277750)|VARIABLE_ASSIGNMENT|[88]|escape|null
05:38:43.12 (12489442)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
05:38:43.12 (12498499)|SYSTEM_MODE_ENTER|true
05:38:43.12 (12511837)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
05:38:43.12 (12528886)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:38:43.12 (12533673)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
05:38:43.12 (12548599)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x13c55175
05:38:43.0 (16849746)|VF_APEX_CALL_START|[EXTERNAL]|01p9E000000Dmpd|communityCaseMgmtController <init>
05:38:43.0 (16859047)|SYSTEM_MODE_ENTER|true
