39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
00:26:49.0 (323235)|USER_INFO|[EXTERNAL]|00524000005uNfK|neela@lightful.com.commundev|Line Is. Time|GMT+14:00
00:26:49.0 (343416)|EXECUTION_STARTED
00:26:49.0 (346654)|CODE_UNIT_STARTED|[EXTERNAL]|0669E000000Cv0R|VF: /apex/communityCaseMgmt
00:26:49.12 (12796734)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex <init>
00:26:49.12 (12812762)|SYSTEM_MODE_ENTER|true
00:26:49.12 (12927719)|HEAP_ALLOCATE|[72]|Bytes:3
00:26:49.12 (12967016)|HEAP_ALLOCATE|[77]|Bytes:152
00:26:49.12 (12984211)|HEAP_ALLOCATE|[342]|Bytes:408
00:26:49.12 (13007363)|HEAP_ALLOCATE|[355]|Bytes:408
00:26:49.12 (13029794)|HEAP_ALLOCATE|[467]|Bytes:48
00:26:49.13 (13270102)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape,null)
00:26:49.13 (13278326)|SYSTEM_MODE_ENTER|true
00:26:49.13 (13288503)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape,null)
00:26:49.13 (13305804)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
00:26:49.13 (13328440)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
00:26:49.13 (13334384)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
00:26:49.13 (13399472)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x439b7f75
00:26:49.13 (13403857)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
00:26:49.13 (13409650)|VARIABLE_ASSIGNMENT|[88]|escape|null
00:26:49.13 (13563627)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
00:26:49.13 (13571284)|SYSTEM_MODE_ENTER|true
00:26:49.13 (13580915)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
00:26:49.13 (13596552)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
00:26:49.13 (13601105)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
00:26:49.13 (13615721)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x439b7f75
00:26:49.0 (58143780)|VF_APEX_CALL_START|[EXTERNAL]|01p9E000000Dmpd|communityCaseMgmtController <init>
00:26:49.0 (58158712)|SYSTEM_MODE_ENTER|true
00:26:49.0 (58391976)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:484
00:26:49.0 (58401188)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:92
00:26:49.0 (58404015)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
00:26:49.0 (58415490)|METHOD_ENTRY|[1]|01p9E000000Dmpd|communityCaseMgmtController.communityCaseMgmtController()
00:26:49.0 (58419357)|STATEMENT_EXECUTE|[1]
00:26:49.0 (58425535)|STATEMENT_EXECUTE|[1]
00:26:49.0 (58433373)|METHOD_EXIT|[1]|communityCaseMgmtController
00:26:49.0 (58589949)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:88
00:26:49.0 (58597522)|VARIABLE_SCOPE_BEGIN|[21]|this|communityCaseMgmtController|true|false
00:26:49.0 (58706352)|VARIABLE_ASSIGNMENT|[21]|this|{}|0x70a3e6d
00:26:49.0 (58714700)|STATEMENT_EXECUTE|[1]
00:26:49.0 (58716040)|STATEMENT_EXECUTE|[3]
00:26:49.0 (58717555)|STATEMENT_EXECUTE|[4]
00:26:49.0 (58718488)|STATEMENT_EXECUTE|[5]
00:26:49.0 (58719380)|STATEMENT_EXECUTE|[6]
00:26:49.0 (58720306)|STATEMENT_EXECUTE|[7]
00:26:49.0 (58721282)|STATEMENT_EXECUTE|[8]
00:26:49.0 (58722167)|STATEMENT_EXECUTE|[9]
00:26:49.0 (58723067)|STATEMENT_EXECUTE|[11]
00:26:49.0 (58724187)|STATEMENT_EXECUTE|[12]
00:26:49.0 (58725208)|STATEMENT_EXECUTE|[13]
00:26:49.0 (58726109)|STATEMENT_EXECUTE|[15]
00:26:49.0 (58727156)|STATEMENT_EXECUTE|[17]
00:26:49.0 (58728059)|STATEMENT_EXECUTE|[18]
00:26:49.0 (58728956)|STATEMENT_EXECUTE|[19]
00:26:49.0 (58729856)|STATEMENT_EXECUTE|[148]
00:26:49.0 (58731054)|STATEMENT_EXECUTE|[149]
00:26:49.0 (58731949)|STATEMENT_EXECUTE|[150]
00:26:49.0 (58733104)|STATEMENT_EXECUTE|[151]
00:26:49.0 (58734061)|STATEMENT_EXECUTE|[152]
00:26:49.0 (58734958)|STATEMENT_EXECUTE|[153]
00:26:49.0 (58735899)|STATEMENT_EXECUTE|[154]
00:26:49.0 (58759001)|STATEMENT_EXECUTE|[22]
00:26:49.0 (58760318)|STATEMENT_EXECUTE|[23]
00:26:49.0 (58810114)|HEAP_ALLOCATE|[23]|Bytes:85
00:26:49.0 (58819159)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
00:26:49.0 (58821501)|STATEMENT_EXECUTE|[1]
00:26:49.0 (58826871)|SYSTEM_METHOD_EXIT|[1]|UserInfo
