39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
05:39:53.0 (346177)|USER_INFO|[EXTERNAL]|00524000005uNfK|neela@lightful.com.commundev|Line Is. Time|GMT+14:00
05:39:53.0 (378847)|EXECUTION_STARTED
05:39:53.0 (384774)|CODE_UNIT_STARTED|[EXTERNAL]|0669E000000Cv0R|VF: /apex/communityCaseMgmt
05:39:53.4 (4237626)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex <init>
05:39:53.4 (4256042)|SYSTEM_MODE_ENTER|true
05:39:53.4 (4351051)|HEAP_ALLOCATE|[72]|Bytes:3
05:39:53.4 (4383764)|HEAP_ALLOCATE|[77]|Bytes:152
05:39:53.4 (4397756)|HEAP_ALLOCATE|[342]|Bytes:408
05:39:53.4 (4412722)|HEAP_ALLOCATE|[355]|Bytes:408
05:39:53.4 (4425855)|HEAP_ALLOCATE|[467]|Bytes:48
05:39:53.4 (4662375)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape,null)
05:39:53.4 (4670388)|SYSTEM_MODE_ENTER|true
05:39:53.4 (4679995)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape,null)
05:39:53.4 (4698102)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
05:39:53.4 (4721717)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:39:53.4 (4727222)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
05:39:53.4 (4757934)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x74b1f491
05:39:53.4 (4760753)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
05:39:53.4 (4764487)|VARIABLE_ASSIGNMENT|[88]|escape|null
05:39:53.4 (4905270)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
05:39:53.4 (4912398)|SYSTEM_MODE_ENTER|true
05:39:53.4 (4922083)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
05:39:53.4 (4936730)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:39:53.4 (4941098)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
05:39:53.4 (4954464)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x74b1f491
05:39:53.0 (5748279)|VF_APEX_CALL_START|[EXTERNAL]|01p9E000000Dmpd|communityCaseMgmtController <init>
05:39:53.0 (5754976)|SYSTEM_MODE_ENTER|true
05:39:53.0 (5927284)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:368
05:39:53.0 (5932747)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:60
05:39:53.0 (5934993)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
05:39:53.0 (5941897)|METHOD_ENTRY|[1]|01p9E000000Dmpd|communityCaseMgmtController.communityCaseMgmtController()
05:39:53.0 (5944677)|STATEMENT_EXECUTE|[1]
05:39:53.0 (5948791)|STATEMENT_EXECUTE|[1]
