39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
05:44:11.0 (273565)|USER_INFO|[EXTERNAL]|00524000005uNfK|neela@lightful.com.commundev|Line Is. Time|GMT+14:00
05:44:11.0 (296479)|EXECUTION_STARTED
05:44:11.0 (300867)|CODE_UNIT_STARTED|[EXTERNAL]|0669E000000Cv0R|VF: /apex/communityCaseMgmt
05:44:11.10 (10606767)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex <init>
05:44:11.10 (10623986)|SYSTEM_MODE_ENTER|true
05:44:11.10 (10730850)|HEAP_ALLOCATE|[72]|Bytes:3
05:44:11.10 (10769355)|HEAP_ALLOCATE|[77]|Bytes:152
05:44:11.10 (10781921)|HEAP_ALLOCATE|[342]|Bytes:408
05:44:11.10 (10793691)|HEAP_ALLOCATE|[355]|Bytes:408
05:44:11.10 (10804382)|HEAP_ALLOCATE|[467]|Bytes:48
05:44:11.11 (11035707)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape,null)
05:44:11.11 (11044187)|SYSTEM_MODE_ENTER|true
05:44:11.11 (11057874)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape,null)
05:44:11.11 (11076701)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
05:44:11.11 (11102038)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:44:11.11 (11108121)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
05:44:11.11 (11135851)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x3c7fc24f
05:44:11.11 (11138665)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
05:44:11.11 (11142828)|VARIABLE_ASSIGNMENT|[88]|escape|null
05:44:11.11 (11303686)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
05:44:11.11 (11311944)|SYSTEM_MODE_ENTER|true
05:44:11.11 (11321156)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
05:44:11.11 (11336936)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:44:11.11 (11341581)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
05:44:11.11 (11354953)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x3c7fc24f
05:44:11.0 (12989243)|VF_APEX_CALL_START|[EXTERNAL]|01p9E000000Dmpd|communityCaseMgmtController <init>
05:44:11.0 (12997024)|SYSTEM_MODE_ENTER|true
05:44:11.0 (13132487)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:368
05:44:11.0 (13139601)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:60
05:44:11.0 (13142497)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
05:44:11.0 (13149983)|METHOD_ENTRY|[1]|01p9E000000Dmpd|communityCaseMgmtController.communityCaseMgmtController()
05:44:11.0 (13153181)|STATEMENT_EXECUTE|[1]
05:44:11.0 (13157238)|STATEMENT_EXECUTE|[1]
05:44:11.0 (13161585)|METHOD_EXIT|[1]|communityCaseMgmtController
05:44:11.0 (13166969)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:60
05:44:11.0 (13170492)|VARIABLE_SCOPE_BEGIN|[21]|this|communityCaseMgmtController|true|false
05:44:11.0 (13205895)|VARIABLE_ASSIGNMENT|[21]|this|{}|0x5638b9f7
05:44:11.0 (13211281)|STATEMENT_EXECUTE|[1]
05:44:11.0 (13212773)|STATEMENT_EXECUTE|[3]
05:44:11.0 (13214064)|STATEMENT_EXECUTE|[4]
