39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
05:44:17.0 (51358)|USER_INFO|[EXTERNAL]|00524000005uNfK|neela@lightful.com.commundev|Line Is. Time|GMT+14:00
05:44:17.0 (75655)|EXECUTION_STARTED
05:44:17.0 (79345)|CODE_UNIT_STARTED|[EXTERNAL]|0669E000000Cv0R|VF: /apex/communityCaseMgmt
05:44:17.9 (9698676)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex <init>
05:44:17.9 (9716394)|SYSTEM_MODE_ENTER|true
05:44:17.9 (9818208)|HEAP_ALLOCATE|[72]|Bytes:3
05:44:17.9 (9846012)|HEAP_ALLOCATE|[77]|Bytes:152
05:44:17.9 (9857345)|HEAP_ALLOCATE|[342]|Bytes:408
05:44:17.9 (9868436)|HEAP_ALLOCATE|[355]|Bytes:408
05:44:17.9 (9878511)|HEAP_ALLOCATE|[467]|Bytes:48
05:44:17.10 (10112895)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape,null)
05:44:17.10 (10123593)|SYSTEM_MODE_ENTER|true
05:44:17.10 (10136491)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape,null)
05:44:17.10 (10162358)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
05:44:17.10 (10188664)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:44:17.10 (10195316)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
05:44:17.10 (10227814)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x634c94f1
05:44:17.10 (10231287)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
05:44:17.10 (10236360)|VARIABLE_ASSIGNMENT|[88]|escape|null
05:44:17.10 (10408019)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
05:44:17.10 (10415745)|SYSTEM_MODE_ENTER|true
05:44:17.10 (10425455)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
05:44:17.10 (10441431)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:44:17.10 (10446025)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
05:44:17.10 (10460103)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x634c94f1
05:44:17.0 (12172299)|VF_APEX_CALL_START|[EXTERNAL]|01p9E000000Dmpd|communityCaseMgmtController <init>
05:44:17.0 (12179422)|SYSTEM_MODE_ENTER|true
05:44:17.0 (12383183)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:368
05:44:17.0 (12389259)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:60
05:44:17.0 (12391901)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
05:44:17.0 (12397562)|METHOD_ENTRY|[1]|01p9E000000Dmpd|communityCaseMgmtController.communityCaseMgmtController()
05:44:17.0 (12400358)|STATEMENT_EXECUTE|[1]
05:44:17.0 (12404355)|STATEMENT_EXECUTE|[1]
05:44:17.0 (12409401)|METHOD_EXIT|[1]|communityCaseMgmtController
05:44:17.0 (12416157)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:60
